derived_word,origin_w,chapter,deck,meaning,example,viewed,status
antagonize,Provoke,1,2,Cause (someone) to become hostile.,"They antagonize other chat room visitors, trying to force a heated debate.",0,0
clash,Provoke,1,2,A violent confrontation.,A clash with Parma occurred to aggravate his troubles.,0,0
incite,Provoke,1,2,Encourage or stir up (violent or unlawful behaviour),"Rather than incite her, it left her sleepy.",0,0
pester,Provoke,1,2,Trouble or annoy (someone) with frequent or persistent requests or interruptions.,I know you're mad at him and thought you'd like to pester him.,0,0
cantankerous,Easily angered,1,2,"Bad-tempered, argumentative, and uncooperative.","As Ethel grew older, she became more cantankerous.",0,0
instable,Easily angered,1,2,likely to give way; not stable.,Bipolarity is born dangerous and instable.,0,0
irascible,Easily angered,1,2,Having or showing a tendency to be easily angered.,It is a very quick and highly irascible beast and even known to turn on its pursuer.,0,0
ornery,Easily angered,1,2,Bad-tempered or difficult to deal with.,"She's a bit ornery in comparison and not as physically capable, but she's my puppy and I wouldn't trade her for all the polygons in the world.",0,0
precarious,Easily angered,1,2,Not securely held or in position; dangerously likely to fall or collapse.,I held onto a precarious perch just before I let go.,0,0
testy,Easily angered,1,2,Easily irritated; impatient and somewhat bad-tempered.,"A little testy today, aren't we?",0,0
volatile,Easily angered,1,2,(of a substance) easily evaporated at normal temperatures.,"On the other hand, putting up with his volatile moods wouldn't be exactly easy.",0,0
headlong,Impulsive,1,2,With the head foremost.,Nasr escaped only by a headlong flight to Nishapur.,0,0
impetuous,Impulsive,1,2,Acting or done quickly and without thought or care.,"In the past, impetuous young men would drop out of college and run off to join the army.",0,0
precipitous,Impulsive,1,2,Dangerously high or steep.,Deep and with very precipitous walls.,0,0
circumspect,Cautious,1,2,Wary and unwilling to take risks.,It was done in a circumspect manner.,0,0
heedful,Cautious,1,2,Aware of and attentive to.,You should be more heedful of advice.,0,0
restrained,Cautious,1,2,Characterized by reserve or moderation; unemotional or dispassionate.,"This time, she sensed restrained power of a different kind.",0,0
vigilant,Cautious,1,2,Keeping careful watch for possible danger or difficulties.,The organization is ever vigilant for threats to the habitats of birds.,0,0
dally,Oscillate,1,2,Act or move slowly.,Don't dally though-you only have one minute per turn.,0,0
dither,Oscillate,1,2,Be indecisive.,Stop dithering and choose which one you want!,0,0
falter,Oscillate,1,2,Lose strength or momentum.,Hearing the whole truth makes me falter a bit when I think about what happened.,0,0
vacillate,Oscillate,1,2,Waver between different opinions or actions; be indecisive.,Guys might also vacillate between two extremes.,0,0
arbitrary,Unpredictable,1,3,"Based on random choice or personal whim, rather than any reason or system.",The committee had arbitrary rules.,0,0
capricious,Unpredictable,1,3,Given to sudden and unaccountable changes of mood or behaviour.,"But Henry, despite a violent and capricious temper, had a strong taste for the work of a legislator and administrator.",0,0
erratic,Unpredictable,1,3,Not even or regular in pattern or movement; unpredictable.,Erratic blocks are of frequent occurrence in south Jutland.,0,0
fickle,Unpredictable,1,3,"Changing frequently, especially as regards one's loyalties or affections.","Sasha's moods were varied and fickle, never lasting too long.",0,0
flippant,Unpredictable,1,3,Not showing a serious or respectful attitude.,So many people have a flippant attitude to the potential risks and effects of skin cancer.,0,0
frivolous,Unpredictable,1,3,Not having any serious purpose or value.,Less frivolous than someone I know.,0,0
irresolute,Unpredictable,1,3,Showing or feeling hesitancy; uncertain.,He was old and somewhat irresolute and indecisive.,0,0
mercurial,Unpredictable,1,3,Subject to sudden or unpredictable changes of mood or mind.,Even this did not tame the impostors mercurial temperament.,0,0
temperamental,Unpredictable,1,3,(of a person) liable to unreasonable changes of mood.,He is very temperamental and critical.,0,0
whimsical,Unpredictable,1,3,"Playfully quaint or fanciful, especially in an appealing and amusing way.",It's just something whimsical I painted some time ago.,0,0
willful,Unpredictable,1,3,(of a bad or harmful act) intentional; deliberate.,He's been willful and headstrong from a baby.,0,0
debased,Unimportant,1,3,Reduced in quality or value.,Sport is being debased by commercialism.,0,0
ignoble,Unimportant,1,3,Not honourable in character or purpose.,The character of the first Medician pope shows a peculiar mixture of noble and ignoble qualities.,0,0
inconsequential,Unimportant,1,3,Not important or significant.,Most of what she said was pretty inconsequential.,0,0
inglorious,Unimportant,1,3,(of an action or situation) causing shame or a loss of honour.,He wouldn't have accepted such an inglorious outcome.,0,0
measly,Unimportant,1,3,Ridiculously small or few.,The average British bathroom measures a measly 3.5 square metres.,0,0
niggling,Unimportant,1,3,"Causing slight but persistent annoyance, discomfort, or anxiety.",Stop niggling about every penny we spend.,0,0
nonentity,Unimportant,1,3,A person or thing with no special or interesting qualities; an unimportant person or thing.,How could such a nonentity become chairman of the company?,0,0
paltry,Unimportant,1,3,(of an amount) very small or meagre.,She made some paltry excuse and left.,0,0
picayune,Unimportant,1,3,Of little value or significance; petty.,The misery suffered in this war makes your own problems seem pretty picayune.,0,0
piddling,Unimportant,1,3,Pathetically trivial; trifling.,I spent all day doing piddling little jobs.,0,0
trifling,Unimportant,1,3,Unimportant or trivial.,"Genius is not a retainer to any emperor, nor is its material silver, or gold, or marble, except to a trifling extent.",0,0
aplomb,Self-confident,1,3,"Self-confidence or assurance, especially when in a demanding situation.",Mr. Oakley did this with great aplomb and to loud applause.,0,0
composure,Self-confident,1,3,The state or feeling of being calm and in control of oneself.,She totally lost her composure and began shouting.,0,0
equability,Self-confident,1,3,marked by lack of variation,"The climate of Cuba is tropical and distinctively insular in characteristics of humidity, equability and high mean temperature.",0,0
equanimity,Self-confident,1,3,"Calmness and composure, especially in a difficult situation.","Gentleness, equanimity and benevolence were native to him.",0,0
imperturbability,Self-confident,1,3,"marked by extreme calm, impassivity, and steadiness","But there is a limit of imperturbability, and when that limit is reached, the subsequent passion is desperately vehement.",0,0
nonchalance,Self-confident,1,3,The state of being nonchalant.,He conceals his worries behind a mask of nonchalance.,0,0
placidity,Self-confident,1,3,serenely free of interruption or disturbance,The swift and indifferent placidity of that look troubled me.,0,0
poise,Self-confident,1,3,Graceful and elegant bearing in a person.,Her poise expressed both dignity and grace.,0,0
sangfroid,Self-confident,1,3,Composure or coolness shown in danger or under trying circumstances.,I was amazed at how he retained his sangfroid throughout the discussion.,0,0
articulate,Clear words,2,1,Having or showing the ability to speak fluently and coherently.,The teachers help the children to be more articulate about their strengths and weaknesses.,0,0
eloquent,Clear words,2,1,Fluent or persuasive in speaking or writing.,He learned to be eloquent on the right occasion in order to be successful.,0,0
expressive,Clear words,2,1,Effectively conveying thought or feeling.,She had the most expressive face he had ever seen.,0,0
lucid,Clear words,2,1,Expressed clearly; easy to understand.,Lucid explanations have been most helpful to my understanding.,0,0
oratory,Clear words,2,1,skilful and effective public speaking,He displayed determination as well as powerful oratory.,0,0
pompous,Clear words,2,1,behave or speak in a very serious way,He appears pompous but is a good man underneath.,0,0
raconteur,Clear words,2,1,A person who tells anecdotes in a skilful and amusing way.,He spoke eight languages and was a noted raconteur.,0,0
rhetoric,Clear words,2,1,"The art of effective or persuasive speaking or writing, especially the exploitation of figures of speech and other compositional techniques.",The audience was impressed by the rhetoric the young girl used in her speech.,0,0
silver-tongued,Clear words,2,1,A tendency to be eloquent and persuasive in speaking.,The silver-tongued devil couldn't get the deal done on cap and trade.,0,0
stentorian,Clear words,2,1,(of a person's voice) loud and powerful.,Suddenly a stentorian voice boomed across the room.,0,0
turgid,Clear words,2,1,too serious about its subject matter,"He used to make extremely dull, turgid and frankly boring speeches.",0,0
verbose,Clear words,2,1,Using or expressed in more words than are needed.,Being verbose and exaggerating a person's qualities will not help.,0,0
circumlocution,Lot of words,2,1,"The use of many words where fewer would do, especially in a deliberate attempt to be vague or evasive.",Politicians are experts in circumlocution.,0,0
long-winded,Lot of words,2,1,(of speech or writing) continuing at tedious length.,I hope I'm not being too long-winded.,0,0
prolix,Lot of words,2,1,(of speech or writing) using or containing too many words; tediously lengthy.,Both were tough on the prolix.,0,0
superfluous,Lot of words,2,1,"Unnecessary, especially through being more than enough.",My presence at the afternoon's proceedings was superfluous.,0,0
concise,Few words,2,1,Giving a lot of information clearly and in a few words; brief but comprehensive.,"His arguments were concise, simple, and clear.",0,0
curt,Few words,2,1,Rudely brief.,He dismissed them with a curt nod.,0,0
laconic,Few words,2,1,"(of a person, speech, or style of writing) using very few words.",The manner is laconic yet earnest.,0,0
pithy,Few words,2,1,(of language or style) terse and vigorously expressive.,"The short, pithy sayings have become popular mottoes and household words.",0,0
reticent,Few words,2,1,Not revealing one's thoughts or feelings readily.,Even the reticent members participated enthusiastically.,0,0
succinct,Few words,2,1,(especially of something written or spoken) briefly and clearly expressed.,Keep your answers as succinct as possible.,0,0
taciturn,Few words,2,1,(of a person) reserved or uncommunicative in speech; saying little.,"Normally patient, taciturn ox can sometimes turn eccentric and short-tempered.",0,0
terse,Few words,2,1,Sparing in the use of words; abrupt.,I could tell by her terse response Molly was nearby.,0,0
implicit,No use of words,2,1,Suggested though not directly expressed.,"Lies in his formula of implicit and explicit, potential and actual.",0,0
implied,No use of words,2,1,Suggested but not directly expressed; implicit.,"You didn't say those words, but you implied I would lead them on.",0,0
tacit,No use of words,2,1,Understood or implied without being stated.,He gave his tacit approval in letters to the media.,0,0
unuttered,No use of words,2,1,(of words or thoughts) not spoken or expressed.,That is the unuttered matter that underlies the ritualistic argument over arms sales.,0,0
acerbic,Disapprove,2,2,(especially of a comment or style of speaking) sharp and forthright.,The letter was written in her usual acerbic style.,0,0
caustic,Disapprove,2,2,sarcastic in a scathing and bitter way.,Obviously he was annoyed by her caustic tone.,0,0
incisive,Disapprove,2,2,(of a person or mental process) intelligently analytical and clear-thinking.,His arguments were marked by incisive humour and fertility of ideas.,0,0
trenchant,Disapprove,2,2,Vigorous or incisive in expression or style.,He was shattered and bewildered by this trenchant criticism.,0,0
bloated,Showy wordiness,2,2,excessive in size or amount.,"Was it bloated, or did he look like he was taking a nap?",0,0
bombastic,Showy wordiness,2,2,High-sounding but with little meaning; inflated.,The candidate spoke in a bombastic way of all that he would do if elected.,0,0
declamatory,Showy wordiness,2,2,Vehement or impassioned in expression.,Yet patriotism is the easiest of declamatory prejudices.,0,0
effusive,Showy wordiness,2,2,"Showing or expressing gratitude, pleasure, or approval in an unrestrained or heartfelt manner.",He was effusive in his praise for the general.,0,0
florid,Showy wordiness,2,2,Having a red or flushed complexion.,"He had much taste and love for music, and considerable gifts as an orator of a florid type.",0,0
fustian,Showy wordiness,2,2,attempting to impress by affecting greater importance via speech or writing,A smokescreen of fustian and fantasy.,0,0
garrulous,Showy wordiness,2,2,"Excessively talkative, especially on trivial matters.",My garrulous neighbour had given away the secret.,0,0
grandiloquent,Showy wordiness,2,2,"Pompous or extravagant in language, style, or manner, especially in a way that is intended to impress.","Her speech was full of grandiloquent language, but it contained no new ideas.",0,0
grandiose,Showy wordiness,2,2,"Impressive and imposing in appearance or style, especially pretentiously so.",Spencer's grandiose cosmic formula in terms of mechanism.,0,0
loquacious,Showy wordiness,2,2,Tending to talk a great deal; talkative.,"Certainly startup founders' personalities vary widely-some are outgoing and loquacious, others are introverted and reticent.",0,0
magniloquent,Showy wordiness,2,2,Using high-flown or bombastic language.,"He spoke in a magniloquent manner, drawing attention to himself.",0,0
orotund,Showy wordiness,2,2,(of a person's voice) resonant and imposing.,"That is orotund but don't give up, he tells you, telling a friend's story for you.",0,0
pretentious,Showy wordiness,2,2,Attempting to impress by affecting greater importance or merit than is actually possessed.,His response was full of pretentious nonsense.,0,0
rhetorical,Showy wordiness,2,2,Relating to or concerned with the art of rhetoric.,She ignored his rhetorical questions.,0,0
diatribe,Negative speech,2,2,A forceful and bitter verbal attack against someone or something.,The man's diatribe brought shame and embarrassment to his family.,0,0
fulmination,Negative speech,2,2,An expression of vehement protest.,She was fulminating about the dangers of smoking.,0,0
harangue,Negative speech,2,2,A lengthy and aggressive speech.,He delivered a violent harangue before Charles IX.,0,0
invective,Negative speech,2,2,"Insulting, abusive, or highly critical language.",A stream of invective from some sectors of the press continues to assail the government.,0,0
jeremiad,Negative speech,2,2,"A long, mournful complaint or lamentation; a list of woes.",Siegel's book is a jeremiad against the ills the Internet has visited upon our lives.,0,0
malediction,Negative speech,2,2,A magical word or phrase uttered with the intention of bringing about evil; a curse.,He was answered with a torrent of malediction.,0,0
obloquy,Negative speech,2,2,Strong public condemnation.,For many years she had much obloquy to endure.,0,0
tirade,Negative speech,2,2,"A long, angry speech of criticism or accusation.",The idea brought up a tirade.,0,0
alternative,Less intensity,2,2,(of one or more things) available as another possibility or choice.,He had to make alternative arrangements.,0,0
circumlocution,Less intensity,2,2,"The use of many words where fewer would do, especially in a deliberate attempt to be vague or evasive.",Shakespeare's narration has an excess of artifice and circumlocution.,0,0
euphemism,Less intensity,2,2,A mild or indirect word or expression substituted for one considered to be too harsh or blunt when referring to something unpleasant or embarrassing.,"It was a euphemism for ignorance, or lack of sufficient observation.",0,0
understatement,Less intensity,2,2,The presentation of something as being smaller or less good or important than it really is.,"Although the notion of 1 million writing prompts sounds hyperbolic, it's actually an understatement.",0,0
commendable,Admirable,2,3,Deserving praise.,He is the author of some commendable verses.,0,0
creditable,Admirable,2,3,"(of a performance, effort, or action) deserving public acknowledgement and praise but not necessarily outstanding or successful.",Opened a fresh and more creditable chapter in Bonner's career.,0,0
estimable,Admirable,2,3,Worthy of great respect.,In character he was as estimable as he was brilliant in intellect.,0,0
laudable,Admirable,2,3,"(of an action, idea, or aim) deserving praise and commendation.",His laudable desire to present a picture of the whole political situation at each important moment is fatal to the continuity of his narrative.,0,0
meritorious,Admirable,2,3,Deserving reward or praise.,The order is conferred for long and meritorious military service.,0,0
venerable,Admirable,2,3,"Accorded a great deal of respect, especially because of age, wisdom, or character.",On the box beside the driver sat a venerable old attendant.,0,0
acclaim,Praise,2,3,Praise enthusiastically and publicly.,At William's coronation it was he who called on them to acclaim their duke as king.,0,0
adulatory,Praise,2,3,Excessively praising or admiring.,Many of these adulatory characterizations were attributed to unnamed sources.,0,0
applaud,Praise,2,3,Show approval or praise by clapping.,"Ironically, he seems to applaud their duplicity because it will, his characters believe, be spiritually edifying.",0,0
approbate,Praise,2,3,Approve formally; sanction.,Sound of fast thunder image whether obtain an user to approbate will remain time trial.,0,0
commend,Praise,2,3,Praise formally or officially.,I cannot sufficiently commend that view.,0,0
compliment,Praise,2,3,A polite expression of praise or admiration.,"Our thanks go to Franks for his use of jazz influences to compliment his excellent lyric content, and King for writing some of the great soul classics.",0,0
encomium,Praise,2,3,A speech or piece of writing that praises someone or something highly.,The encomium upon Hiero II.,0,0
eulogize,Praise,2,3,Praise highly in speech or writing.,The poem does not eulogize the dead soldiers.,0,0
exalt,Praise,2,3,Think or speak very highly of (someone or something),It was reserved for the 18th century to exalt Racine above Corneille.,0,0
extol,Praise,2,3,Praise enthusiastically.,He never stops extolling the virtues of the free market.,0,0
hail,Praise,2,3,"a lot of similar things or remarks, thrown or shouted at someone at the same time",The prime minister was greeted with a hail of insults as she arrived at the university.,0,0
kudos,Praise,2,3,Praise and honour received for an achievement.,He received kudos of approval from the intelligentsia.,0,0
laud,Praise,2,3,Praise (a person or their achievements) highly.,He was lauded for his courage.,0,0
paean,Praise,2,3,A song of praise or triumph.,The song is a paean to solitude and independence.,0,0
panegyric,Praise,2,3,A public speech or published text in praise of someone or something.,"Rousseau, a fervid panegyric showing a good deal of talent but no power of criticism.",0,0
plaudit,Praise,2,3,An expression of praise or approval.,She won plaudits for the way she presented her case.,0,0
tribute,Praise,2,3,"An act, statement, or gift that is intended to show gratitude, respect, or admiration.","In some places he pays an annual tribute in grapes, corn and other produce.",0,0
venerate,Praise,2,3,Regard with great respect; revere.,These children are venerated as holy beings.,0,0
courtesy,Respect,2,3,The showing of politeness in one's attitude and behaviour towards others.,"From there, I went to Carter Paterson's office, where I was greeted with the utmost courtesy.",0,0
deference,Respect,2,3,Polite submission and respect.,Taran bowed his head in deference to his master.,0,0
homage,Respect,2,3,Special honour or respect shown publicly.,The gift was an homage of the heart.,0,0
idolize,Respect,2,3,"Admire, revere, or love greatly or excessively.","Boys idolize athletes, and fantasize about playing in the pros.",0,0
obeisance,Respect,2,3,Deferential respect.,The general commands absolute obeisance.,0,0
reverence,Respect,2,3,Deep respect for someone or something.,Everything her father did inspired her with reverence and was beyond question.,0,0
veneration,Respect,2,3,Great respect; reverence.,His mask of veneration slowly turned into a licentious grin.,0,0
apathy,Less emotions,3,1,"Lack of interest, enthusiasm, or concern.",How can we overcome voter apathy ?,0,0
impassivity,Less emotions,3,1,giving no sign of feeling or emotion,I entered and with equal impassivity turned to face the corridor.,0,0
lassitude,Less emotions,3,1,A state of physical or mental weariness; lack of energy.,"Moreover, he was crippled by incipient disease of the brain, which at first inflicted unconquerable lassitude and depression, and latterly agonizing pain.",0,0
phlegm,Less emotions,3,1,calmness of temperament.,Phlegm and determination carried them through many difficult situations,0,0
lethargy,Less emotions,3,1,A lack of energy and enthusiasm.,"Very large doses in animals cause lethargy, collapse and death.",0,0
indifference,Less emotions,3,1,"Lack of interest, concern, or sympathy.",Under that facade of indifference beats a heart primed for breaking.,0,0
stolidity,Less emotions,3,1,having or expressing little or no sensibility,His facial features suggested a stolid character.,0,0
erudite,Intellectual,3,1,Having or showing great knowledge or learning.,"He was never dull, always erudite and well informed.",0,0
literary,Intellectual,3,1,"Concerning the writing, study, or content of literature, especially of the kind valued for quality of form.",This year may be taken as the beginning of his literary activity and public life.,0,0
scholarly,Intellectual,3,1,Involving or relating to serious academic study.,"His tastes were scholarly, and he was one of the founders of the American Academy of Arts and Sciences.",0,0
abstruse,Understood by a few,3,1,Difficult to understand; obscure.,"Dr. Bell is proficient in many fields of science, and has the art of making every subject he touches interesting, even the most abstruse theories.",0,0
arcane,Understood by a few,3,1,Understood by few; mysterious or secret.,"The cases seem either petty or arcane, the investigations tedious or motivated by politics.",0,0
esoteric,Understood by a few,3,1,Intended for or likely to be understood by only a small number of people with a specialized knowledge or interest.,"The meaning was very esoteric in film, literature and art.",0,0
highbrow,Understood by a few,3,1,Intellectual or rarefied in taste.,He presents his own highbrow literary programme.,0,0
obscure,Understood by a few,3,1,Not discovered or known about; uncertain.,It was an obscure corner of the world.,0,0
rarefied,Understood by a few,3,1,without any of the problems of ordinary life,The rarefied atmosphere of academia,0,0
recondite,Understood by a few,3,1,(of a subject or knowledge) little known; abstruse.,Her poems are modishly experimental in style and recondite in subject-matter.,0,0
acuity,Wisdom,3,1,"Sharpness or keenness of thought, vision, or hearing.","But when a head tilt or head turn accompanies nystagmus, surgery to correct a muscle imbalance may improve nystagmus and visual acuity.",0,0
acumen,Wisdom,3,1,The ability to make good judgements and take quick decisions.,Capable lawyers with business acumen are valuable to any firm.,0,0
astuteness,Wisdom,3,1,mentally sharp or clever,"With characteristic astuteness, he spoke separately to all those involved.",0,0
discernment,Wisdom,3,1,The ability to judge well.,It's clear that you are a person of discernment.,0,0
discretion,Wisdom,3,1,The quality of behaving or speaking in such a way as to avoid causing offence or revealing confidential information.,"The boss, at his/her discretion, may rotate the crew.",0,0
flair,Wisdom,3,1,A special or instinctive aptitude or ability for doing something well.,She has a natural flair for languages.,0,0
ken,Wisdom,3,1,One's range of knowledge or understanding.,"Due to the ken of her poor health, the doctor advised the woman to eat healthier foods and exercise more.",0,0
ingenious,Wisdom,3,1,"(of a person) clever, original, and inventive.",His plots are always very ingenious.,0,0
attunement,Pleasant sounds,3,1,to bring into harmony,Alex had been attuned to her silent wants and needs because it was important to him.,0,0
consonance,Pleasant sounds,3,1,Agreement or compatibility between opinions or actions.,These things suggested a want of easy consonance with the deeper rhythms of life.,0,0
diapason,Pleasant sounds,3,1,a grand swelling burst of harmony.,"For 45 minutes he spoke, sometimes allowing his voice to swell in a sonorous diapason, sometimes letting it sink low as he leaned forward confidentially over the desk.",0,0
euphony,Pleasant sounds,3,1,The quality of being pleasing to the ear.,Such euphony is hard to resist.,0,0
mellifluousness,Pleasant sounds,3,1,having a smooth rich flow,"The hiker reposed in the shade of a tree, listening to the mellifluous sounds of rustling leaves and a babbling brook.",0,0
melodiousness,Pleasant sounds,3,1,having a pleasing melody,"I went to get Frenchmen, answered Tikhon boldly and hurriedly, in a husky but melodious bass voice.",0,0
organum,Pleasant sounds,3,1,An early type of polyphonic music based on plainsong with an accompaniment sung below or above the melody.,Over the next several centuries organum developed in several ways.,0,0
astute,Wise,3,2,Having or showing an ability to accurately assess situations or people and turn this to one's advantage.,He was astute in business matters.,0,0
circumspection,Wise,3,2,The quality of being wary and unwilling to take risks; prudence.,This is a very sensitive case requiring extreme circumspection.,0,0
finesse,Wise,3,2,Impressive delicacy and skill.,It was a disappointing performance which lacked finesse.,0,0
judiciousness,Wise,3,2,"having, exercising, or characterized by sound judgment",When it comes to judiciousness in investing in stocks I don't think you need any outside amateur help.,0,0
omniscient,Wise,3,2,Knowing everything.,"And then there's you, their omniscient, omnipotent deity.",0,0
percipient,Wise,3,2,Having good insight or understanding; perceptive.,She was a percipient interpreter of the public mood.,0,0
perspicacious,Wise,3,2,Having a ready insight into and understanding of things.,He was perspicacious enough to realize that things were soon going to change.,0,0
precocious,Wise,3,2,(of a child) having developed certain abilities or inclinations at an earlier age than is usual or expected.,"She was a precocious child, with an early passion for learning.",0,0
prudent,Wise,3,2,Acting with or showing care and thought for the future.,She agreed it had been prudent to warn her.,0,0
pundit,Wise,3,2,An expert in a particular subject or field who is frequently called upon to give their opinions to the public.,The pundit disagree on the best way of dealing with the problem.,0,0
sagacity,Wise,3,2,The quality of having good judgement.,"This discovery was not accidental or unforeseen, but was due to the sagacity of those who designed the voyage.",0,0
sapient,Wise,3,2,"Wise, or attempting to appear wise.","Contrary to popular belief, most computers are neither sapient nor hostile.",0,0
asinine,Stupid,3,2,Extremely stupid or foolish.,"With mediocre graphics and asinine A.I., you may find yourself frustrated after a few missions.",0,0
deranged,Stupid,3,2,Mad; insane.,Luckily it doesn't look too bad - definitely more wild night out than deranged bag lady.,0,0
fatuous,Stupid,3,2,Silly and pointless.,Let the fatuous sun shine by itself and let's head for the moon.,0,0
gauche,Stupid,3,2,Unsophisticated and socially awkward.,So how do you let guests know where you registered without seeming gauche?,0,0
gullible,Stupid,3,2,Easily persuaded to believe something; credulous.,Where are your gullible buyers?,0,0
idiotic,Stupid,3,2,Very stupid.,Let them do the idiotic and maniacal hooting for men.,0,0
ignoramus,Stupid,3,2,An ignorant or stupid person.,I'm a complete ignoramus where computers are concerned.,0,0
inane,Stupid,3,2,Lacking sense or meaning; silly.,"While it costs $100 a year to join, you can be sure that annoying jokers don't clog the community with inane chatter.",0,0
maladroit,Stupid,3,2,Inefficient or inept; clumsy.,"Weezer's own website, Weezer.com features fan submitted versions of tabs for albums up to Maladroit.",0,0
unwitting,Stupid,3,2,(of a person) not aware of the full facts.,We're unwitting victims of the system.,0,0
vacuous,Stupid,3,2,Having or showing a lack of thought or intelligence; mindless.,"Sure, he delivered a vacuous inaugural speech.",0,0
vapid,Stupid,3,2,Offering nothing that is stimulating or challenging; bland.,His conversation was vapid in the extreme.,0,0
coy,Modest,3,2,(especially with reference to a woman) making a pretence of shyness or modesty which is intended to be alluring.,She gave him a coy smile.,0,0
demure,Modest,3,2,"(of a woman or her behaviour) reserved, modest, and shy.",Her best defence may be her demure appearance.,0,0
diffident,Modest,3,2,Modest or shy because of a lack of self-confidence.,Princess Mary seemed even quieter and more diffident than usual.,0,0
