word,similar
 curt,curt
 curt, letters stating that there will be repercussions for anyone who attempts to release any sort of alleged sex tape or nude photos (those exist too?) of the golf pro.
 laconic,"However, their mystery is only a superficial illusion that is enhanced by Virgo's curt and "
 laconic,laconic
 laconic, communication style.
 pithy,"The short, "
 pithy,pithy
 pithy, sayings have become popular mottoes and household words.
 reticent,Even the 
 reticent,reticent
 reticent, members participated enthusiastically.
 succinct,A 
 succinct,succinct
 succinct, account of typical frauds of spiritualism is contained in D.
 taciturn,"Normally patient, "
 taciturn,taciturn
 taciturn, ox can sometimes turn eccentric and short-tempered.
 terse,I could tell by her 
 terse,terse
 terse, response Molly was nearby.
implicit,Lies in his formula of 
implicit,implicit
implicit," and explicit, potential and actual."
 implied,"You didn't say those words, but you "
 implied,implied
 implied, I would lead them on.
 tacit,He gave his 
 tacit,tacit
 tacit, approval in letters to the media.
 unuttered,ABSENT
acerbic,It was during this performance in which the usually 
acerbic,acerbic
acerbic," Simon Cowell stated that he saw Lewis ""transform from a great singer to a superstar."""
 caustic,Obviously he was annoyed by her 
 caustic,caustic
 caustic, tone.
 incisive,His arguments were marked by 
 incisive,incisive
 incisive, humour and fertility of ideas.
 trenchant,"The work consists of brief, vigorous and "
 trenchant,trenchant
 trenchant," delineations of moral types, which contain a most valuable picture of the life of his time."
diatribe,The man's 
diatribe,diatribe
diatribe, brought shame and embarrassment to his family.
 fulmination,"This last reason, while probably most effective with the judges, only stirred up more furiously the fury in Schopenhauer's breast, and his preface is one long "
 fulmination,fulmination
 fulmination," against the ineptitudes and the charlatanry of his bête noire, Hegel."
 harangue,He delivered a violent 
 harangue,harangue
 harangue, before Charles IX.
 invective,"The coalition, and Fox in particular, were assailed in a torrent of most telling "
 invective,invective
 invective, and caricature.
 jeremiad,ABSENT
 malediction,ABSENT
 obloquy,For many years she had much 
 obloquy,obloquy
 obloquy, to endure.
 tirade,The idea brought up a 
 tirade,tirade
 tirade,.
alternative,He had to make 
alternative,alternative
alternative, arrangements.
 circumlocution,"His prose writings gained great reputation in their own day, and long afterwards, but are disfigured by apparent straining after effect, and by frequent puerility and "
 circumlocution,circumlocution
 circumlocution,.
 euphemism,It was a 
 euphemism,euphemism
 euphemism," for ignorance, or lack of sufficient observation."
 understatement,"Although the notion of 1 million writing prompts sounds hyperbolic, it's actually an "
 understatement,understatement
 understatement,.
commendable,He is the author of some 
commendable,commendable
commendable, verses.
 creditable,Opened a fresh and more 
 creditable,creditable
 creditable, chapter in Bonner's career.
 estimable,In character he was as 
 estimable,estimable
 estimable, as he was brilliant in intellect.
 laudable,His 
 laudable,laudable
 laudable, desire to present a picture of the whole political situation at each important moment is fatal to the continuity of his narrative.
 meritorious,The order is conferred for long and 
 meritorious,meritorious
 meritorious, military service.
 venerable,On the box beside the driver sat a 
 venerable,venerable
 venerable, old attendant.
acclaim,At William's coronation it was he who called on them to 
acclaim,acclaim
acclaim, their duke as king.
 adulatory,The worst blot on his fair fame is his 
 adulatory,adulatory
 adulatory," congratulation of the murderous usurper Phocas; though his correspondence with the Frankish queen Brunhilda, and the series of letters to and concerning the renegade monk Venantius also present problems which his admirers find difficult of solution."
 applaud,"Ironically, he seems to "
 applaud,applaud
 applaud," their duplicity because it will, his characters believe, be spiritually edifying."
 approbate,ABSENT
 commend,I cannot sufficiently 
 commend,commend
 commend, that view.
 compliment,Our thanks go to Franks for his use of jazz influences to 
 compliment,compliment
 compliment," his excellent lyric content, and King for writing some of the great soul classics."
 encomium,The 
 encomium,encomium
 encomium, upon Hiero II.
 eulogize,ABSENT
 exalt,It was reserved for the 18th century to 
 exalt,exalt
 exalt, Racine above Corneille.
 extol,While some financial experts 
 extol,extol
 extol," the virtues of an investment account sheltered under a life insurance policy, others stress that a simple term life insurance policy is the best option and investments should be kept separate."
 hail,She dropped to the sand as a 
 hail,hail
 hail, of bullets whistled above her head.
 kudos,He received 
 kudos,kudos
 kudos, of approval from the intelligentsia.
 laud,Laud
 laud,", by W."
 paean,Whether 
 paean,Paean
 paean," (or Paeon) was originally an epithet of Apollo, subsequently developed into an independent personality, or an independent deity merged in the later arrival (Farnell, Cults, iv."
 panegyric,"Rousseau, a fervid "
 panegyric,panegyric
 panegyric, showing a good deal of talent but no power of criticism.
 plaudit,ABSENT
 tribute,In some places he pays an annual 
 tribute,tribute
 tribute," in grapes, corn and other produce."
 venerate,Natives and Anglo-Indians alike 
 venerate,venerate
 venerate," his name, the former as their first beneficent administrator, the latter as the most able and the most enlightened of their own class."
courtesy,"From there, I went to Carter Paterson's office, where I was greeted with the utmost "
courtesy,courtesy
courtesy,. 
 deference,Taran bowed his head in 
 deference,deference
 deference, to his master.
 homage,The gift was an 
 homage,homage
 homage, of the heart.
 idolize,Many fans strive to be able to sing their favorite Broadway tunes as well as their favorite performers while others 
 idolize,idolize
 idolize, the dramatical tone the song suggests.
 obeisance,"When the Hobbits would have bowed to Aragorn, the newly crowned King of Gondor, he refused to accept their "
 obeisance,obeisance
 obeisance," and bowed to them instead, sending all in Gondor to their knees before the tiny Hobbits."
 reverence,Everything her father did inspired her with 
 reverence,reverence
 reverence, and was beyond question.
 veneration,His mask of 
 veneration,veneration
 veneration, slowly turned into a licentious grin.
deride,"While there was much to admire in TPM, there was also, alas, much to "
deride,deride
deride,.
 gibe,"The Thracian spearmen, who were watching him from the door, began to "
 gibe,gibe
 gibe, at his cowardice.
 jeer,ABSENT
 scoff,The tone of the writer is that of person who can but 
 scoff,scoff
 scoff, at current fashion.
 sneer,But merely to 
 sneer,sneer
 sneer,", and pity the Kids Today that weren't around when the original series was new and shiny."
 taunt,"These fans are labeled 'griefers' by some, because they love to "
 taunt,taunt
 taunt, a fan base or because they love to see how far they can take the Internet 'whisper' game.
censure,The soldier was sent home from boot camp after he received another 
censure,censure
censure, from the general.
 defame,"If the board begins swearing at participants, counting down backward or attempting to "
 defame,defame
 defame," a person's spiritual belief, it is being likely being controlled by a demon."
 demean,The mother-in-law would 
 demean,demean
 demean," her, as a way to abase the young wife in the son's eyes."
 denigrate,The decision seems to subtly 
 denigrate,denigrate
 denigrate, (possibly with good reason)the American reading public.
 denounce,It was tempting to 
 denounce,denounce
 denounce," him in front of everyone, but that would be childish."
 denunciate,ABSENT
 deprecate,It is true that some philologists 
 deprecate,deprecate
 deprecate, as unscientific the comparison of myths which are found in languages not connected with each other.
 impugn,The Hickinbotham's winery has done nothing to 
 impugn,impugn
 impugn, the reputation of their neighborhood.
 perjure,"By command of Zeus she carries in a ewer water from the Styx, with which she puts to sleep all who "
 perjure,perjure
 perjure, themselves.
 vilification,ABSENT
disrepute,"In this instance, however, prejudice (and it is difficult to believe that it was anything else) was right, for King James's first venture does not appear to have been a success either as a race-horse or as a sire, and thus Arabian blood was brought into "
disrepute,disrepute
disrepute,.
 ignominy,"But on the arrival of Licinius Mucianus he was not only obliged to surrender his authority, but was treated with such "
 ignominy,ignominy
 ignominy, that he left Rome.
 infamy,"It wasn't until he faked his own grandmother's death, however, that he shot right up into reality TV villain "
 infamy,infamy
 infamy,.
 opprobrium,""" Freethinker "" and "" rationalist "" have been terms of "
 opprobrium,opprobrium
 opprobrium, whether used by Protestants or Catholics.
admonish,You can 
admonish,admonish
admonish, a selfish man.
 castigate,ABSENT
 chastise,"He looked up at her, obviously afraid she would further "
 chastise,chastise
 chastise, him.
 chide,He will not 
 chide,chide
 chide," continually, nor keep his anger still."
 punish,I can neither 
 punish,punish
 punish, him if he does wrong nor reward him if he does right.
 rebuke,"It was unfair to punish him, but his "
 rebuke,rebuke
 rebuke, still stung.
 reprimand,Did the policeman 
 reprimand,reprimand
 reprimand, the old man?
 reproach,"When you don't live the life, you bring "
 reproach,reproach
 reproach, on the truth.
 reprove,"The natural day is very calm, and will hardly "
 reprove,reprove
 reprove, his indolence.
 scold,Don't 
 scold,scold
 scold, him when he has an accident.
 tax,Okay. Good luck with the 
 tax,tax
 tax, stuff.
 upbraid,"The Israelites, terrified by the approach of the Egyptians, "
 upbraid,upbraid
 upbraid," Moses, who promises them deliverance by the hand of Yahweh (xiv."
aggravate,Famine and sickness had begun to 
aggravate,aggravate
aggravate, the situation.
 chafe,"It also has plastic rings that connect the straps and the body of the bra, which can cut or "
 chafe,chafe
 chafe," when active, as well as make for a less durable bra."
 exacerbate,"According to the National Women's Health Information Center, stress can cause or "
 exacerbate,exacerbate
 exacerbate," physical health problems like high blood pressure, back and neck pain, and even diabetes."
 irk,"Over the long run, Gemini's penchant for surface-layer conversation may "
 irk,irk
 irk, Sagittarius.
 irritate,"""I'm afraid it will "
 irritate,irritate
 irritate," your wound,"" she reasoned."
 nettle,"I have watered the red huckleberry, the sand cherry and the "
 nettle,nettle-tree
 nettle,", the red pine and the black ash, the white grape and the yellow violet, which might have withered else in dry seasons."
 peeve,"The eye shadow and contour brushes pack the color on beautifully and evenly, while the blush, powder and fan brushes never leave stray hairs behind (a personal pet "
 peeve,peeve
 peeve, that I can't stand).
 provoke,Had no intention or wish to 
 provoke,provoke
 provoke, a great European war.
 vex,But this destruction seems to have been done on purpose to 
 vex,vex
 vex, us.
antagonize,They 
antagonize,antagonize
antagonize," other chat room visitors, trying to force a heated debate."
 clash,A 
 clash,clash
 clash, with Parma occurred to aggravate his troubles.
 incite,Rather than 
 incite,incite
 incite," her, it left her sleepy."
 pester,I know you're mad at him and thought you'd like to 
 pester,pester
 pester, him.
cantankerous,Mad-Eye Moody - The 
cantankerous,cantankerous
cantankerous, auror died during the escape engineered when Harry had to be moved from his aunt and uncle's to the safety of the Weasley's hollow.
 instable,ABSENT
 irascible,It is a very quick and highly 
 irascible,irascible
 irascible, beast and even known to turn on its pursuer.
 irritable,His temper was 
 irritable,irritable
 irritable,", his habits penurious and solitary."
 ornery,She's a bit 
 ornery,ornery
 ornery," in comparison and not as physically capable, but she's my puppy and I wouldn't trade her for all the polygons in the world."
 precarious,I held onto a 
 precarious,precarious
 precarious, perch just before I let go.
 testy,A little 
 testy,testy
 testy," today, aren't we?"
 volatile,"On the other hand, putting up with his "
 volatile,volatile
 volatile, moods wouldn't be exactly easy.
headlong,Nasr escaped only by a 
headlong,headlong
headlong, flight to Nishapur.
 impetuous,"In the past, "
 impetuous,impetuous
 impetuous, young men would drop out of college and run off to join the army.
 precipitous,Deep and with very 
 precipitous,precipitous
 precipitous, walls.
circumspect,It was done in a 
circumspect,circumspect
circumspect, manner.
 heedful,ABSENT
 restrained,"This time, she sensed "
 restrained,restrained
 restrained, power of a different kind.
 vigilant,But he watched all public incidents with a 
 vigilant,vigilant
 vigilant," eye, and seized every passing opportunity of exposing departures from sound principle in parliament and courts of justice."
arbitrary,The committee had 
arbitrary,arbitrary
arbitrary, rules.
 capricious,"But Henry, despite a violent and "
 capricious,capricious
 capricious," temper, had a strong taste for the work of a legislator and administrator."
 chance,You had your 
 chance,chance
 chance, to solve it on your own.
 erratic,Erratic
 erratic, blocks are of frequent occurrence in south Jutland.
 fickle,Sasha's moods were varied and 
 fickle,fickle
 fickle,", never lasting too long."
 flippant,So many people have a 
 flippant,flippant
 flippant, attitude to the potential risks and effects of skin cancer.
 frivolous,Less 
 frivolous,frivolous
 frivolous, than someone I know.
 irresolute,"They are generally slow of speech and manner, and somewhat "
 irresolute,irresolute
 irresolute,", but take an eager interest in current politics, and are generally fairly educated men of extreme democratic principles."
 mercurial,Even this did not tame the impostors 
 mercurial,mercurial
 mercurial, temperament.
 temperamental,"Kagan's observations of these children over time indicated that these characteristic profiles tended to continue, although the display of "
 temperamental,temperamental
 temperamental, tendencies varied in accordance with the child's developmental level.
 whimsical,It's just something 
 whimsical,whimsical
 whimsical, I painted some time ago.
 willful,THE ABOVE LIMITATION SHALL NOT APPLY TO THE EXTENT CAUSED BY THE 
 willful,WILLFUL
 willful, TORTUOUS MISCONDUCT OR GROSS NEGLIGENCE OF LOVETOKNOW CORP..
dally,Don't 
dally,dally
dally, though-you only have one minute per turn.
 dither,"If you want to reduce the size of a graphic by specifying a palette, it is much better to use an ""adaptive palette"" and trust the computer to "
 dither,dither
 dither, the colors in the best possible way.
 falter,Hearing the whole truth makes me 
 falter,falter
 falter, a bit when I think about what happened.
 fluctuate,"Employers often value the maturity and experience of seniors, but it may take a bit of time to find the right job, and job opportunities "
 fluctuate,fluctuate
 fluctuate," with the economy, as well as the region of the country where you live."
 oscillate,The rods are caused to 
 oscillate,oscillate
 oscillate," slowly by an engine, one rising while the other is falling."
 vacillate,Guys might also 
 vacillate,vacillate
 vacillate, between two extremes.
debased,He was also concerned in the reform of the currency by the withdrawal of the 
debased,debased
debased, Bolivian coins.
 ignoble,The character of the first Medician pope shows a peculiar mixture of noble and 
 ignoble,ignoble
 ignoble, qualities.
 inconsequential,It was a great love story - the sexuality of the players is 
 inconsequential,inconsequential
 inconsequential,.
 inglorious,The hostile action of Denmark enabled him honourably to emerge from the 
 inglorious,inglorious
 inglorious," Polish imbroglio, and he was certain of the zealous support of his own people."
 insignificant,"Lying to her, even about something this "
 insignificant,insignificant
 insignificant,", felt awful."
 measly,And for a 
 measly,measly
 measly," $15 a month, you couldn't ask for a better deal."
 niggling,ABSENT
 nonentity,A sixth 
 nonentity,nonentity
 nonentity,", Nushirwan, was a Chupani nominee in 1344, after which time Ilasan Buzurg definitely installed himself as the first khan of the Jelairid or Ilkhanian-Jelairid dynasty."
 paltry,"There, a man by the name of Roy Raymond decided that he had had it with trying to purchase lingerie at women's department stores; the embarrassment was excruciating, and the sales help, "
 paltry,paltry
 paltry,.
 picayune,ABSENT
 piddling,"A wealthy man, addicted to his pleasures and his profits, finds religion to be a traffic so entangled, and of so many "
 piddling,piddling
 piddling," accounts, that of all mysteries he cannot skill to keep a stock going upon that trade."
 trifling,"Genius is not a retainer to any emperor, nor is its material silver, or gold, or marble, except to a "
 trifling,trifling
 trifling, extent.
aplomb,Mr. Oakley did this with great 
aplomb,aplomb
aplomb, and to loud applause.
 composure,He regained his 
 composure,composure
 composure,", leveled his eyes on the girl and said, ""You can go now."""
 delicatesse,ABSENT
 equability,"The climate of Cuba is tropical and distinctively insular in characteristics of humidity, "
 equability,equability
 equability, and high mean temperature.
 equanimity,"Gentleness, "
 equanimity,equanimity
 equanimity, and benevolence were native to him.
 imperturbability,But there is a limit of 
 imperturbability,imperturbability
 imperturbability,", and when that limit is reached, the subsequent passion is desperately vehement."
 level-headedness,ABSENT
 nonchalance,While he feigned 
 nonchalance,nonchalance
 nonchalance,", it was obvious he was as proud as a kid with a new toy to show them what he'd discovered."
 placidity,"As he sat on the judgment-seat, ` the deep thought betrayed in his furrowed brow - the large eyebrows, overhanging eyes that seemed to regard more what was taking place within than around him - his calmness, that would have assumed a character of sternness but for its perfect "
 placidity,placidity
 placidity," - his dignity, repose and venerable age, tended at once to win confidence and to inspire respect ' (Townsend)."
 poise,Her 
 poise,poise
 poise, expressed both dignity and grace.
 sangfroid,ABSENT
apathy,How can we overcome voter 
apathy,apathy
apathy,?
 impassivity,ABSENT
 lassitude,"Moreover, he was crippled by incipient disease of the brain, which at first inflicted unconquerable "
 lassitude,lassitude
 lassitude," and depression, and latterly agonizing pain."
 phlegm,"As a result, your dog is able to bring up more "
 phlegm,phlegm
 phlegm," when he coughs, and "
 phlegm,phlegm
 phlegm, removal is essential to helping him feel better.
 unresponsiveness,Myxedema coma can cause 
 unresponsiveness,unresponsiveness
 unresponsiveness,"; irregular, shallow breathing; low blood sugar; and drops in blood pressure and body temperature."
 disinterest,He's sizing you up underneath that exterior of 
 disinterest,disinterest
 disinterest, and casual politeness.
 lethargy,Very large doses in animals cause 
 lethargy,lethargy
 lethargy,", collapse and death."
 indifference,Under that facade of 
 indifference,indifference
 indifference, beats a heart primed for breaking.
 stolidity,ABSENT
erudite,"It is a role-playing/adventure game that offers a variety of characters and classes to play- Iskar Shaman, Vah Shir Berserker, Barbarian Warrior, Wood Elf Ranger, High Elf Cleric, "
erudite,Erudite
erudite," Wizard, and the Dark Elf Shadow Knight."
 literary,This year may be taken as the beginning of his 
 literary,literary
 literary, activity and public life.
 scholarly,His tastes were 
 scholarly,scholarly
 scholarly,", and he was one of the founders of the American Academy of Arts and Sciences."
abstruse,"Dr. Bell is proficient in many fields of science, and has the art of making every subject he touches interesting, even the most "
abstruse,abstruse
abstruse, theories.
 arcane,Find Tar-Meena at the 
 arcane,Arcane
 arcane, University and show her the book.
 esoteric,The meaning was very 
 esoteric,esoteric
 esoteric," in film, literature and art."
 highbrow,Also notable are frou-frou game boutiques such as New York's 
 highbrow,highbrow
 highbrow," gaming salon ""Multimedia 1.0."""
 obscure,It was an 
 obscure,obscure
 obscure, corner of the world.
 rarefied,"Hittorf examined the phenomena exhibited in so-called high vacua, that is, in exceedingly "
 rarefied,rarefied
 rarefied, gases.
 recondite,"The idea of tracing the sun's path among the stars was, when it occurred to Chaldaean astronomers, an original and, relatively to their means, a "
 recondite,recondite
 recondite, one.
acuity,"But when a head tilt or head turn accompanies nystagmus, surgery to correct a muscle imbalance may improve nystagmus and visual "
acuity,acuity
acuity,.
 acumen,Capable lawyers with business 
 acumen,acumen
 acumen, are valuable to any firm.
 astuteness,This vizier had the 
 astuteness,astuteness
 astuteness," to see the necessity of codifying the doctrines of the Ftimites, and himself undertook this task; in the newly-established mosque of el-Azhar he got his master to make provision for a perpetual series of teachers and students of his manual."
 discernment,"His essays, collected under the title Zeiten, Volker and Menschen (Berlin, 1874-1885), show clear "
 discernment,discernment
 discernment,", a finely balanced cosmopolitan judgment and grace of style."
 discretion,"The boss, at his/her "
 discretion,discretion
 discretion,", may rotate the crew."
 flair,"While trouser socks are widely available in plain and solid prints, you'll also find patterned designs, which are perfect for adding a bit of "
 flair,flair
 flair," to your outfit, even if you only get to see them when you cross your legs."
 ken,"If we examine a man little dependent on external conditions, whose action was performed very recently, and the causes of whose action are beyond our "
 ken,ken
 ken,", we get the conception of a minimum of inevitability and a maximum of freedom."
 ingenious,"Although his making religion the sole factor of this evolution was a perversion of the historical facts, the book was so consistent throughout, so full of "
 ingenious,ingenious
 ingenious," ideas, and written in so striking a style, that it ranks as one of the masterpieces of the French language in the 19th century."
astute,He was 
astute,astute
astute, in business matters.
 astute,He was 
 astute,astute
 astute, in business matters.
 circumspection,"Ii., 1839-1840): - ""We find in his method the wisdom and "
 circumspection,circumspection
 circumspection," of the Scottish school, with something more masculine and decisive in the results."
 finesse,You went through the toddler décor and moved into the adolescent style with great 
 finesse,finesse
 finesse,", but now it's time to reconsider your family room and how you'll be using it over the few years."
 judiciousness,"Though naturally knowing nothing of the modern idea of a progressive revelation, his "
 judiciousness,judiciousness
 judiciousness,", penetration, and tact in eliciting his author's meaning, his precision, condensation, and concinnity as an expositor, the accuracy of his learning, the closeness of his reasoning, and the elegance of his style, all unite to confer a high value on his exegetical works."
 omniscient,"And then there's you, their "
 omniscient,omniscient
 omniscient,", omnipotent deity."
 percipient,"4avTaoia, so that beyond all doubt it is something which the "
 percipient,percipient
 percipient," subject grasps, and not that which grasps or "" lays hold of "" the "
 percipient,percipient
 percipient,.
 perspicacious,ABSENT
 precocious,Girolamo was a 
 precocious,precocious
 precocious," child, with an early passion for learning."
 providence,This undeniable 
 providence,Providence
 providence,", the supreme dispenser of our destinies, becomes in the natural course the common centre of our affections, our thoughts, and our actions."
 prudent,She agreed it had been 
 prudent,prudent
 prudent, to warn her.
 pundit,Right wing conservative author and political 
 pundit,pundit
 pundit, Ann Coulter cries conspiracy as the Today show decided to ditch her scheduled appearance.
 sagacity,"This discovery was not accidental or unforeseen, but was due to the "
 sagacity,sagacity
 sagacity, of those who designed the voyage.
 sapient,Sapient
 sapient," is Persae sermones homileticos (Leipzig, 1879); J."
asinine,With mediocre graphics and 
asinine,asinine
asinine," A.I., you may find yourself frustrated after a few missions."
 deranged,Luckily it doesn't look too bad - definitely more wild night out than 
 deranged,deranged
 deranged, bag lady.
 fatuous,"If he had no sympathy with revolutionary disturbers of the peace, he had even less with the "
 fatuous,fatuous
 fatuous," extravagances of the comte d'Artois and his reactionary entourage, and his influence was thrown into the scale of the moderate constitutional policy of which Richelieu and Decazes were the most conspicuous exponents."
 gauche,So how do you let guests know where you registered without seeming 
 gauche,gauche
 gauche,?
 gullible,Where are your 
 gullible,gullible
 gullible, buyers?
 idiotic,Let them do the 
 idiotic,idiotic
 idiotic, and maniacal hooting for men.
 ignoramus,"Those who shrink from the old confident assertion, "" Christ would not have become incarnate but for man's sin,"" might claim to say, from reverence and not from evasiveness, "
 ignoramus,ignoramus
 ignoramus,.
 inane,"While it costs $100 a year to join, you can be sure that annoying jokers don't clog the community with "
 inane,inane
 inane, chatter.
 maladroit,"Weezer's own website, Weezer.com features fan submitted versions of tabs for albums up to "
 maladroit,Maladroit
 maladroit,.
 unwitting,"The con artist then proceeds to ask more and more questions, narrowing down the choices, all with an air of confidence and mystery to bedazzle the "
 unwitting,unwitting
 unwitting, victim.
 vacuous,"If a long glass tube with plane ends, and containing some pellets of sodium is heated in the middle by a row of burners, the cool ends remain practically "
 vacuous,vacuous
 vacuous, and do not become obscured.
 vapid,Movies and TV shows make fun of 
 vapid,vapid
 vapid," models, but the truth is that it's a demanding, cutthroat business, and you have to be strong and have a really good sense of humor."
altruistic,Animals can have more 
altruistic,altruistic
altruistic, behavior than humans.
 benevolent,Long Cross Farm is reputedly haunted by a very 
 benevolent,benevolent
 benevolent, spirit.
 munificent,"Contemptuous of the opinion of his fellows, he hid his virtues, paraded his faults, affected some failings from which he was really exempt, and, since his "
 munificent,munificent
 munificent," charity could not be concealed from the recipients, laboured to spoil it by gratuitous surliness."
 philanthropic,It is the seat of several educational and 
 philanthropic,philanthropic
 philanthropic, institutions.
extravagant,She always sent 
extravagant,extravagant
extravagant, gifts to her daughter.
 lavish,Nature has been niggard of rain but 
 lavish,lavish
 lavish, in soil and sun.
 prodigal,"They live frugally, and are only "
 prodigal,prodigal
 prodigal, in powder and human life.
 profligate,You have profited by their toil to lead a 
 profligate,profligate
 profligate, life.
 spendthrift,During his absence she married the profligate 
 spendthrift,spendthrift
 spendthrift,", P. Cornelius Dolabella."
economical,An 
economical,economical
economical, method of evaporation must be found.
 frugal,In business transactions Alex was 
 frugal,frugal
 frugal," with his money, but when it came to his family, he was generous."
frugal,In business transactions Alex was 
frugal,frugal
frugal," with his money, but when it came to his family, he was generous."
 thrifty,He was 
 thrifty,thrifty
 thrifty, and anxious to leave to his son a full treasury.
 miserly,"Finally, there are at least three garters per leg, as opposed to the "
 miserly,miserly
 miserly," two on modern belts, better guaranteeing that stockings and seams stay in place."
 parsimonious,Parsimonious
 parsimonious, has custom content for both Sims 2 and Sims 3.
conspicuous,The skunk had a 
conspicuous,conspicuous
conspicuous, spinal stripe.
 ostentatious,"With all of these elements competing for attention, one might expect the Manor to be an over-the-top, "
 ostentatious,ostentatious
 ostentatious," bag - but it's really quite the opposite, since only a few of these details are incorporated in a Manor bag at one time."
braggadocio,There's a fine but definitive line between being a 
braggadocio,braggadocio
braggadocio, and healthy self-promotion.
 braggart,You sound like a 
 braggart,braggart
 braggart,", so you should try to be more humble."
 bravado,"East York, Ontario, "
 bravado,Bravado
 bravado, Designs manufactures maternity and nursing bras in a variety of styles and designs.
 gasconade,"But the phrase ""Campanian arrogance"" seems to have been used proverbially for """
 gasconade,gasconade
 gasconade,"""; and, as there was a plebeian gens Naevia in Rome, it is quite as probable that he was by birth a Roman citizen."
 prate,I can't stand to hear him 
 prate,prate
 prate, on and on about his new hobby.
 rodomontade,ABSENT
 vaunt,"If he said so, he was speaking of the Ptolemaic cosmogony as known to him through the Arabs, and his "
 vaunt,vaunt
 vaunt, was a humorous proof of his scientific instinct.
chaste,In his personal conduct he was 
chaste,chaste
chaste,", temperate and sincerely pious."
 coy,"The natural next step in her career was acting, and she took to the big screen with a flourish.Day became a Hollywood sweetheart, and gained an innocent, virginal image by playing "
 coy,coy
 coy,", sweet leading ladies."
 demure,Neckline: The neckline of a Christmas dress is often higher and more 
 demure,demure
 demure," not only because of the season's chill, but also because of the religious solemnity of both the wedding and the season."
 diffident,Princess Mary seemed even quieter and more 
 diffident,diffident
 diffident, than usual.
 meek,"""Yes papa,"" she said in a "
 meek,meek
 meek, voice.
 resigned,I tried to appear 
 resigned,resigned
 resigned, to defeat.
 selfeffacing,ABSENT
 temperate,"The climate is cool and bracing, and the products of the vicinity include many of the "
 temperate,temperate
 temperate, zone.
 unassertive,"The condition also may be related to low self-esteem, "
 unassertive,unassertive
 unassertive," personality, and feelings of inferiority."
 unobtrusive,"He usually dressed in black, with "
 unobtrusive,unobtrusive
 unobtrusive, propriety.
