word,similar
subtitle,"Yes, in 1977, Star Wars boasted no roman numeral, no 'A New Hope' "
subtitle,subtitle
subtitle,; it stood alone.
retake,ABSENT
screen,She unhooked the 
screen,screen
screen, and pushed it out.
picture,I saw his 
picture,picture
picture, on your refrigerator.
brave,He was 
brave,brave
brave, now that he faced only a woman.
careful,Just be 
careful,careful
careful, where you go.
friendly,ABSENT
glad,I'm so 
glad,glad
glad, I have you.
good,Alex always said she had a 
good,good
good, imagination.
great,You're doing a 
great,great
great, job.
happy,Are you trying to say that you're not 
happy,happy
happy, with your success?
honest,His 
honest,honest
honest, answer silenced her.
joyful,"A flood of brilliant, "
joyful,joyful
joyful, light poured from her transfigured face.
nice,It's 
nice,nice
nice, to have that special respect.
surprised,I was a little 
surprised,surprised
surprised, at the invitation.
wonderful,He was such a 
wonderful,wonderful
wonderful, person in so many ways.
proud,How sad that she would be too 
proud,proud
proud, to have fun.
excited,He'd been so 
excited,excited
excited, about his phone.
fair,ABSENT
climate,The 
climate,climate
climate," of Sardinia is more extreme than that of Italy, but varies considerably in different districts."
disaster,The events which led to this 
disaster,disaster
disaster, may be briefly told.
dust,A 
dust,dust
dust, storm was probably brewing.
erosion,"For many years, the town has been threatened by the "
erosion,erosion
erosion, of the river banks.
oxygen,Carmen gazed down at Destiny inside the 
oxygen,oxygen
oxygen, tent.
famine,ABSENT
earthquake,The city was almost totally destroyed by an 
earthquake,earthquake
earthquake," in 1766, and again in 1797."
soil,There is an abundance of fertile 
soil,soil
soil, and magnificent grazing land.
tide,If the 
tide,tide
tide," had been going out, he'd be in the Atlantic by now."
heat,The evening 
heat,heat
heat, was stifling.
earth,The leader of the bad guys on 
earth,earth
earth, died and was replaced.
nature,It was in his 
nature,nature
nature,", and it was something that wasn't going to change."
monsoon,It is to be noted that the climate of the islands of the Pacific becomes more and more healthy the farther they are from the 
monsoon,monsoon
monsoon, region.
breeze,A cool 
breeze,breeze
breeze, touched her cheeks and neck.
humid,The day had been unusually hot and 
humid,humid
humid,", and she wiped sweat from her forehead."
casual,Her dress was 
casual,casual
casual, but stunning.
formal,ABSENT
attire,I wasn't sure what would be appropriate 
attire,attire
attire, for the restaurant.
dress,That 
dress,dress
dress, is really YOU!
uniform,Her black 
uniform,uniform
uniform, was clean and waiting for her.
suit,When he succeeded in forming it to 
suit,suit
suit," her, she patted him on his woolly head so vigorously that I thought some of his slips were intentional."
fashion,ABSENT
pants,Then I slipped trying to rub mud on my 
pants,pants
pants, to cover it up.
comfortable,The old man and child were playing checkers in the 
comfortable,comfortable
comfortable, den when a housekeeper called them to dinner.
designer,Tables with 
designer,designer
designer, shoes on them stood beside the truck.
skinny,He was as 
skinny,skinny
skinny," as a stick, in his early twenties, and his long blond hair hadn't seen scissors since he began his transcontinental trek."
tailor,Antonio could work his magic and 
tailor,tailor
tailor, them perfectly.
costume,Maybe you should take off that wolf 
costume,costume
costume, and show him how it's done.
garment,The length of the 
garment,garment
garment, varied considerably.
outfit,It's the 
outfit,outfit
outfit, my mom sent for Christmas.
individual,How do you find 
individual,individual
individual, cases?
child,This 
child,child
child, has a wonderful gift.
human,"Any task that could be done a machine is, by definition, dehumanizing to a "
human,human
human, being.
lady,That's where the newspaper 
lady,lady
lady, is based.
personality,His 
personality,personality
personality, was quiet and sober.
society,I thought maybe I wasn't high 
society,society
society, material.
human,"Any task that could be done a machine is, by definition, dehumanizing to a "
human,human
human, being.
gentleman,A 
gentleman,gentleman
gentleman, gave me a beautiful card.
cunning,They are good hunters who are wonderfully 
cunning,cunning
cunning, and enduring.
smart,I can tell you're a 
smart,smart
smart," girl, Brenda."
helpful,There was nothing 
helpful,helpful
helpful, Dean could offer.
adult,Who's the 
adult,adult
adult, here?
creative,He was not a great original thinker; he lacked the 
creative,creative
creative, faculty and the 
creative,creative
creative, impulse.
successful,He was 
successful,successful
successful,", in varying degrees in locating ninety-six."
innocent,The children are so 
innocent,innocent
innocent, they will believe anything I tell them.
bad,No. I just had a 
bad,bad
bad, dream.
bored,I'm not 
bored,bored
bored,", but it is getting late."
confused,For a moment he looked 
confused,confused
confused,", and then turned away."
crazy,The idea is as 
crazy,crazy
crazy, as the rest of this business!
disappointed,I'm 
disappointed,disappointed
disappointed, in you.
hurt,Did I 
hurt,hurt
hurt, you?
upset,The kid was already too 
upset,upset
upset, about something.
mad,"Her dreams, however "
mad,mad
mad,", were never wrong."
terrible,It was a 
terrible,terrible
terrible, choice for a hiding place.
helpless,He was 
helpless,helpless
helpless, to find her.
shocked,I was 
shocked,shocked
shocked, at how harsh reality can be.
silly,"All right, I'll play your "
silly,silly
silly, games.
lonely,It gets 
lonely,lonely
lonely, out there all by myself.
sorry,I actually felt a little 
sorry,sorry
sorry, for her.
stupid,I did a 
stupid,stupid
stupid, thing last night.
write,Write
write, down exactly what you want.
looking,I am 
looking,looking
looking, for the king.
speaks,He 
speaks,speaks
speaks, the truth.
draw,Isn't it strange how babies can 
draw,draw
draw, people together?
listen,Just 
listen,listen
listen, to what he has to say.
sleep,Are you wiping the 
sleep,sleep
sleep, from your eyes?
type,She continued to 
type,type
type, while I put in the call.
eat,We're going to 
eat,eat
eat," before we leave, and you're going to act grateful."
read,ABSENT
cried,She almost 
cried,cried
cried, in relief.
touch ,I will not advise getting in 
touch ,touch
touch , with our feelings or even group hugs.
smile,The 
smile,smile
smile, faded and his expression became ardent.
laugh,Don't 
laugh,laugh
laugh, at me!
dances,"Their music, "
dances,dances
dances, and.
singing,"The """
singing,singing
singing," lessons"" were to strengthen her voice."
blood,Blood
blood, raced up her neck to warm her cheeks.
cancer,Cancer
cancer, of the Stomach is a common disease.
care,He had been taking 
care,care
care, of her for nearly a year now.
death,I was scared to 
death,death
death, I couldn't... get back!
faint,ABSENT
fever,ABSENT
heal,Why couldn't she 
heal,heal
heal, her brother?
needle,"Katie glanced up, the "
needle,needle
needle, pausing in mid air.
nerves,It stilled his 
nerves,nerves
nerves, and helped him focus.
nurse,"""Calm down,"" the "
nurse,nurse
nurse, said.
painful,"It'll be a slow, "
painful,painful
painful, death.
weakness,The memory of her 
weakness,weakness
weakness, for him was all too fresh.
medicine,Minutes later when the nurse arrived with a syringe of 
medicine,medicine
medicine,", Destiny was asleep again, still clutching the doll to her chest."
height,The mountain ridges vary in 
height,height
height, up to 4000 ft.
diet,"""I'm on a "
diet,diet
diet,","" he answered."
left,All the sun's warmth 
left,left
left, the air.
far,ABSENT
near,She drew 
near,near
near, to him and stopped.
down,She sat 
down,down
down, on the bed and sighed again.
up,"The conductor helped her off the car and then the engineer started his train again, so that it puffed and groaned and moved slowly away "
up,up
up, the track.
straight,She looked him 
straight,straight
straight, in the eye.
ahead,Go 
ahead,ahead
ahead, and take a seat while I set another place.
above,"""Yuck,"" he said barely "
above,above
above, a whisper.
below,The dealers stuck 
below,below
below, are flipping out.
around,He put an arm 
around,around
around, her waist and kissed her cheek.
across,Could she make it 
across,across
across, the lava field by herself?
between ,People passing 
between ,between
between , them were a blur.
behind,"The boy got up at once, and sat "
behind,behind
behind, the king.
next,Maybe he'd think about it 
next,next
next, time.
south,"The return address on the envelope was Columbia, "
south,South
south," America, but it wasn't addressed to anyone."
after,He has come 
after,after
after, me.
although,Although
although," she was far away, she could see that he was watching her."
and,The boy laughed cheerfully 
and,and
and, jumped out.
as,She's 
as,as
as, perfect 
as,as
as, she can be.
as if,ABSENT
as soon as,ABSENT
because,I think he felt included 
because,because
because, he was helping as much as we were.
before,Let's go do the chores one last time 
before,before
before, we leave.
but,It was going to be nice having nothing to do 
but,but
but, enjoy their little family for the next two weeks.
for,ABSENT
how,No matter 
how,how
how," sorry Alex was for what happened, or "
how,how
how," many times he apologized or tried to make up for it, he couldn't remove the hurt."
once,Once
once, again she sighed deeply.
only if,ABSENT
or,Do you want a boy 
or,or
or," a girl, Dad?"
since,Since
since," you arrived, she is not sure this is the way."
rhythm,ABSENT
recording ,ABSENT
lyrics ,Messenius was a genuine poet; the 
lyrics ,lyrics
lyrics , he introduces have something of the charm of the old ballads.
harmony ,I try to live in 
harmony ,harmony
harmony , with nature.
artist ,Everyone wanted to meet the 
artist ,artist
artist , and discuss the work they were interested in.
Compose,She needed time to 
Compose,compose
Compose, herself before sharing the bad news with him.
Concert,There's a 
Concert,concert
Concert, at the arts center.
Pitch,You can stop making your 
Pitch,pitch
Pitch,", Brandon."
Vocal,There is also an academy of 
Vocal,vocal
Vocal, music.
Melody,The 
Melody,melody
Melody, grew and passed from one instrument to another.
disco,"Numerous islands lie off the coasts where they are indented; but these are in no case large, excepting those off the north coast, and that of "
disco,Disco
disco," off the west, which is crossed by the parallel of 70° N."
tune,She was humming a 
tune,tune
tune, I didn't recognize.
artist ,Everyone wanted to meet the 
artist ,artist
artist , and discuss the work they were interested in.
instrument,She knew the essential conditions of the 
instrument,instrument
instrument,.
guitar,"""I doubt he can play a "
guitar,guitar
guitar,","" he said between sips."
punish,I can neither 
punish,punish
punish, him if he does wrong nor reward him if he does right.
raid,ABSENT
rob,ABSENT
steal,Your goal is to 
steal,steal
steal, a necklace with a red gem on it.
stalk,Sandy uplands produce a short 
stalk,stalk
stalk, which bears fairly well.
abuse,"Fine, but I'm not going to let him verbally "
abuse,abuse
abuse, you.
court,"""The ball is in your "
court,court
court,","" I said."
crime,You're not accused of any 
crime,crime
crime, so I'm not harboring any fugitives.
frame,ABSENT
penalty,He is paying the 
penalty,penalty
penalty, for the loss of a hundred thousand innocent lives.
prison,My 
prison,prison
prison, had only a kerosene lamp for light.
thief,"""He was a "
thief,thief
thief," and a scoundrel,"" Harold added."
threat,They are a serious 
threat,threat
threat, to him.
justice,They would have social peace at the expense of social and racial 
justice,justice
justice,.
verdict,The 
verdict,verdict
verdict, is given by a simple majority.
soup,"""I.ll get you some "
soup,soup
soup," and cocoa,"" she said and rose."
spinach,Thin the winter 
spinach,spinach
spinach,", when large enough, that it may have space to grow."
cucumber,"The ingredients you need are 10 medium tomatoes, half a "
cucumber,cucumber
cucumber,", half a green bell pepper, three tablespoons of extra virgin olive oil, cayenne pepper and minced garlic to taste."
bake,Alex would likely be home for lunch and she wanted to 
bake,bake
bake, a chicken.
bland,The rice and beans were 
bland,bland
bland, until mixed together.
course,Of 
course,course
course,", he was just a kid."
cuisine ,They liked to indulge in fine 
cuisine ,cuisine
cuisine ,.
delicious ,Delicious
delicious , dark chocolate eyes twinkled with mirth.
diet ,"""I'm on a "
diet ,diet
diet ,","" he answered."
dish ,She handed another 
dish ,dish
dish , to Carmen.
flavour ,ABSENT
menu ,Our only concerns are the Canon 
menu ,menu
menu ," system, which is just too esoteric for our liking."
recipe ,ABSENT
tasty ,"Traditional Thanksgiving dinners are a good stand-by and a great idea if you are cooking for a large group of people, but for a "
tasty ,tasty
tasty , change of pace you might want to explore some alternative Thanksgiving dinner ideas.
full,ABSENT
room,ABSENT
pillow,She threw the 
pillow,pillow
pillow," over her head, drawing the light blanket up against her chin."
lamp,You can still smell the 
lamp,lamp
lamp, kerosene.
blanket,He will have a 
blanket,blanket
blanket, of red each fall.
sofa,I made myself comfortable on the 
sofa,sofa
sofa,", my arm around Betsy, as we all waited for him to continue."
carpet,It will be covered with 
carpet,carpet
carpet, by next weekend.
cupboard,He took a mug from the 
cupboard,cupboard
cupboard, and poured himself a cup of coffee.
maid,The 
maid,maid
maid, lost her balance and toppled over.
garden,"Today, I have a vegetable "
garden,garden
garden, in my backyard.
hall,As she was walking down the 
hall,hall
hall,", she heard her name mentioned."
ceiling,The 
ceiling,ceiling
ceiling, began to crumble.
curtains,Her 
curtains,curtains
curtains," were down to seal away the sunlight, and she was curled up in a ball in the middle of her bed with her back to the door."
door,Alex met her at the 
door,door
door,", a steaming cup of coffee in one hand."
furniture,ABSENT
gate,He opened the 
gate,gate
gate, for her and she went straight to his waiting arms.
tall,The two 
tall,tall
tall, peasants had their say.
fat,ABSENT
short,Life's too 
short,short
short, as it is.
young,The 
young,young
young, girl ran off without a word.
slim,His hips were 
slim,slim
slim,", his long legs shapely."
old,My parents used to listen to those 
old,old
old, songs.
dark,He looked tall and lean in a 
dark,dark
dark, suit.
beautiful,Look at those big gray eyes and that 
beautiful,beautiful
beautiful, red hair!
thin,You're skating on 
thin,thin
thin," ice, Mr. Juror."
handsome,And how 
handsome,handsome
handsome, they both are!
shy,You weren't so 
shy,shy
shy, the other night.
talkitive,ABSENT
attractive,"The woman smiled, creating an "
attractive,attractive
attractive, dimple at the corner of her mouth.
pretty,Your aunt and uncle seem 
pretty,pretty
pretty, fond of you.
crazy,The idea is as 
crazy,crazy
crazy, as the rest of this business!
balloon,"Visit the Grand Canyon, travel to Scotland, hot air "
balloon,balloon
balloon, ride.
banner,Under this 
banner,banner
banner, it was that the Reform Bill was fought and won.
cake,On the sides of the 
cake,cake
cake,", she drew the Toyota emblem, finishing up with some scrolls."
birth,He even had a 
birth,birth
birth, certificate for me.
candle,She put the last 
candle,candle
candle, in the cake and glanced up at her mother's startled face.
celebrate,Alex took them all to dinner to 
celebrate,celebrate
celebrate, the birth.
chocolate,The hot 
chocolate,chocolate
chocolate," did its job, but not until well after five o'clock."
blow out,"There seems to be confusion and sometimes a breakdown in communication between stylists and clients since the term ""Brazilian "
blow out,Blowout
blow out,""" has become somewhat of a catch-all description for keratin hair straightening processes."
born,"The accent says otherwise, but I was "
born,born
born, in New York.
bow,"Her lips were full, a perfect "
bow,bow
bow,", and her large eyes steady and concerned."
gathering,"Lisa was silent a moment, "
gathering,gathering
gathering, courage.
invite,Did she 
invite,invite
invite, you?
party,"According to the invitation, the "
party,party
party, will be held in the main entrance near the Christmas tree.
present,He stopped thinking about the past and his gaze seemed to come to the 
present,present
present,.
sweets,Sweets
sweets, usually made her thirstier - but it was wet.
vast,He was so tall there was a 
vast,vast
vast, difference in their height.
wide,ABSENT
unlimited,He probably thought she had 
unlimited,unlimited
unlimited, funding.
tall,The two 
tall,tall
tall, peasants had their say.
thick,"It was dark, shiny, "
thick,thick
thick, and long.
spacious,"This is a lovely home, so "
spacious,spacious
spacious, and nicely decorated.
plentiful,"The sky was dark, the stars "
plentiful,plentiful
plentiful, and bright.
powerful,The 
powerful,powerful
powerful, words made her frown.
numerous,There are 
numerous,numerous
numerous, side roads but this is becoming a massive man hunt.
massive,Massive
massive, maple trees shaded back and front.
large,"As they approached the building, a "
large,large
large, group of people came out whooping and yelling.
limitless,If she had 
limitless,limitless
limitless," money, this was a place she'd pick out."
immense,There was 
immense,immense
immense, suffering.
giant,Like a 
giant,giant
giant, bath tub.
extensive,The hospital was much more 
extensive,extensive
extensive, than I expected.
abdomen,The 
abdomen,abdomen
abdomen, under the wings of the butterfly still represents the larva.
arm,She touched his 
arm,arm
arm, and he glanced up.
blood,Blood
blood, raced up her neck to warm her cheeks.
bone,He dropped the small 
bone,bone
bone, in his pocket.
chin,He lifted her 
chin,chin
chin, with one finger.
ear,She whispered in my 
ear,ear
ear,", you won't believe it."
elbow,He rose up on one 
elbow,elbow
elbow, and frowned.
finger,ABSENT
foot,ABSENT
hair,Long dark lashes and black curly 
hair,hair
hair, - he had it all.
hand,He held them in his 
hand,hand
hand,", and showed them to the boy."
head,She leaned her 
head,head
head, on his shoulder.
heart,Her 
heart,heart
heart, was starting to flutter.
kidney,ABSENT
knees,ABSENT
answer,He put her 
answer,answer
answer, down in his note book.
assignment,Ikir sent me on 
assignment,assignment
assignment, to spy on him.
book,A coloring 
book,book
book, and crayons kept her busy while they worked and talked.
calculator,In order to understand how to effectively operate a 
calculator,calculator
calculator," that is specifically used for annuities, it is necessary to have a thorough understanding of what annuities are and the various processes that are used to provide payouts."
calendar,My 
calendar,calendar
calendar, fills up quickly.
dictionary,At this point you may consult a 
dictionary,dictionary
dictionary, to check spelling or usage.
examination,Both passed the 
examination,examination
examination, successfully.
experiment,I shut down my 
experiment,experiment
experiment, at six o'clock.
geography,The 
geography,geography
geography, of Northern Italy is described in several popular guide books.
globe,He's been 
globe,globe
globe, trotting for the last three weeks.
intelligent,They're 
intelligent,intelligent
intelligent, kids — good kids.
language,"Of course, she could have used sign "
language,language
language,", but that would have been distracting - and it wouldn't have been as personal."
laptop,"Many people who enjoy reading books in electronic format purchase a Kindle or some other eBook reader, but if you like to read whole books online, there are plenty of free resources where you can do so right on your computer or "
laptop,laptop
laptop,.
learn,I have to 
learn,learn
learn, to control myself.
lesson,I've learned my 
lesson,lesson
lesson,", though."
afford,Could they 
afford,afford
afford, to buy a van?
bank,A 
bank,bank
bank, of clouds was building to the northeast.
bankrupt,It became 
bankrupt,bankrupt
bankrupt, in 1784 and ceased to exist in 1793.
bargain,Neither was willing to 
bargain,bargain
bargain, with me for your life.
bill,I paid the electric and water 
bill,bill
bill, this week.
borrow,"Sarah, can I "
borrow,borrow
borrow, your Lexus?
bought,He 
bought,bought
bought, a ton of stuff.
budget,The bike was a trophy from a time when Dean's 
budget,budget
budget, contained more expendable income.
business,"I mean, I could still have my "
business,business
business, in town.
buy,I decided to 
buy,buy
buy, it.
cash,So why did he pay 
cash,cash
cash, if he had a pocket full of credit cards?
debt,Your 
debt,debt
debt, is paid.
donate,When deciding how to 
donate,donate
donate," a vehicle to charity, one of the most important things is to make sure that the charity you are planning on donating your vehicle to is a qualified charity and can legally accept this type of donation."
discount,There are various kinds of 
discount,discounts
discount,.
earn,I did not 
earn,earn
earn, it.
bracelet,He wore a rose gold 
bracelet,bracelet
bracelet," very similar to Romas's in all but color, and soft, dark boots."
glasses,I wish everyone wore rose-colored 
glasses,glasses
glasses, the way you do.
pocket,He pulled out a 
pocket,pocket
pocket, watch and looked at it.
necklace,She pulled the 
necklace,necklace
necklace, from her neck.
belt,She tugged on the 
belt,belt
belt, of his robe.
hat,He pulled his 
hat,hat
hat, over his eyes.
earrings,The rhinestone 
earrings,earrings
earrings," she had on were fine, but the rubies gave a pop of color that complimented the outfit beautifully."
cap,"Arvensis, is probably a variety of the pasture mushroom; it grows in rings in woody places and under trees and hedges in meadows; it has a large scaly round "
cap,cap
cap,", and the flesh quickly changes to buff or brown when cut or broken; the stem too is hollow."
gloves,She turned away and nodded as she pulled her 
gloves,gloves
gloves, off.
bag,He had a 
bag,bag
bag, in one hand.
wallet,Get out your 
wallet,wallet
wallet,", honey."
phone,The 
phone,phone
phone," woke me up, even though it wasn't very loud."
ring,ABSENT
specs,"Do yourself a favor and research-compare photos of the glasses you are purchasing with photos of those from the manufacturer, and make sure that there's a return policy on the "
specs,specs
specs, just in case.
purse,Tears flooded her eyes and she dug in her 
purse,purse
purse, for a tissue.
arrest,They could 
arrest,arrest
arrest, and imprison.
charge,"Before she could object, Kiki took "
charge,charge
charge, again.
guilt,She wasn't about to live with the 
guilt,guilt
guilt, of hurting yet a third person she cared about.
innocent,The children are so 
innocent,innocent
innocent, they will believe anything I tell them.
suspect,So they did 
suspect,suspect
suspect, her.
testify,The king's position was now so strong that foreign states began to 
testify,testify
testify, their respect.
trial,He would simply have to learn by 
trial,trial
trial, and error.
verdict,The 
verdict,verdict
verdict, is given by a simple majority.
victim,You stopped Otto's next 
victim,victim
victim, from being abducted.
witness,ABSENT
accuse,Your actions alone 
accuse,accuse
accuse, you.
confess,"""Perhaps you think,"" he exclaimed, ""that this is not parliamentary language; I "
confess,confess
confess," it is not, neither are you to expect any such from me."""
jail,The point is that he went to 
jail,jail
jail, for it.
kidnap,ABSENT
prove,I'm not asking you to 
prove,prove
prove, anything.
expense,I'm still waiting for his last 
expense,expense
expense, account.
finance,ABSENT
fund,ABSENT
income,This 
income,income
income, will not be regarded as welfare.
interest,There was little 
interest,interest
interest, in another round of Monopoly.
invest,Now I must 
invest,invest
invest, in a new vehicle.
investment,Your 
investment,investment
investment, would be for naught.
investor,Roger said he'd heard it was some 
investor,investor
investor, from out west.
lend,You want to 
lend,lend
lend," me them glasses, Bordeaux?"
lender,The money-
lender,lender
lender, deals chiefly in grain and in specie.
loan,Will somebody kindly 
loan,loan
loan, me a hat?
loss,He already felt the 
loss,loss
loss," of her calm energy, but he had no idea what to do about it."
poor,The 
poor,poor
poor, kid is feeling deserted.
profit,I turned a good 
profit,profit
profit, on that piece of real estate.
wealth,How much of his 
wealth,wealth
wealth, actually belonged to Katie?
aggressive,"True to his word, he was "
aggressive,aggressive
aggressive, without hurting her.
charge,"Before she could object, Kiki took "
charge,charge
charge, again.
destroy,Rhyn wanted to 
destroy,destroy
destroy, the letter.
glory,"Unmixed good, was a great "
glory,glory
glory, to the nation.
harm,I promise not to 
harm,harm
harm, you.
retreat,ABSENT
slap,She raised a hand to 
slap,slap
slap," him again, but he grabbed her."
troop,He was active in raising 
troop,troop
troop, s xx1.5 FIG.
violence,Where did all the anger and 
violence,violence
violence, come from?
weapon,It wasn't a 
weapon,weapon
weapon,; it was a key.
bomb ,Was terribly wounded by the explosion of a 
bomb ,bomb
bomb ,", and died shortly afterwards."
clash ,A 
clash ,clash
clash , with Parma occurred to aggravate his troubles.
execute,"""I always "
execute,execute
execute," my terms,"" he replied."
defeat ,He shook his head in 
defeat ,defeat
defeat ," and opened the door for her, bowing deeply."
enemy,One deity for an 
enemy,enemy
enemy, is bad enough.
so,"I know you must be tired, "
so,so
so, I will let you rest.
than,He thinks you are better 
than,than
than, us.
that,I thought 
that,that
that, was the best way to carry her.
though,She looked at them as 
though,though
though, they had betrayed her.
till,* 
till,Till
till," tomorrow, my dear fellow."
unless,I don't want you to give that number to anyone 
unless,unless
unless," it's an emergency, you understand?"
until,We went to bed and slept 
until,until
until, morning.
when,When
when," she glanced at him, he was eyeing her, a wry smile twisting his lips."
whenever,He snorted 
whenever,whenever
whenever, he mentioned him.
where,Was that 
where,where
where, his father got all that money?
whereas,"Hannah had been a kept woman with no problems since meeting Gio, "
whereas,whereas
whereas, Katie had always struggled to find her path.
wherever,Wherever
wherever, you want to go.
whether,I really don't know 
whether,whether
whether, to finish him or not.
while,While
while," waiting for the food to arrive, we were happy to sit and chat in the relaxing surroundings."
yet,"It was early, "
yet,yet
yet, we were all ready for bed after our long hike.
library,She left the 
library,library
library, to return Damian's phone.
notebook,Fred pulled out his 
notebook,notebook
notebook, and began scribbling.
project,Quinn's sabbatical 
project,project
project, lost its funding.
reading,ABSENT
question,The big 
question,question
question," was, would her confidence last?"
quiz,"For example, take their "
quiz,quiz
quiz, about your lifestyle preferences to find out what type of community may be ideal for your personality as well as what region might suit you if you're planning to move away from home but not sure where to go.
writing,Are you 
writing,writing
writing, a book?
test,A 
test,test
test, tube baby?
student,The exchange 
student,student
student, was growling at her.
principal,The 
principal,principal
principal," part of the city lies between these two streams, with its great plaza in the centre."
pencil,After she handed the stub-
pencil,pencil
pencil," map back to him, she repeated her question."
classroom,It can be implemented face-to-face in the 
classroom,classroom
classroom, or virtually.
crayons,A coloring book and 
crayons,crayons
crayons, kept her busy while they worked and talked.
desk,"""Let me see something,"" he said, striding to where his "
desk,desk
desk, was.
attend,"My king, I must "
attend,attend
attend, to the preparations.
water,She heard the gurgling 
water,water
water, before the creek came into view.
vacation,This was a 
vacation,vacation
vacation,", not an isolation camp."
waves,The 
waves,waves
waves, had pulled her under before darkness took her.
weekend,The holiday 
weekend,weekend
weekend, passed pleasantly.
wet,Her face 
wet,wet
wet, with tears.
swim,She glanced down at her 
swim,swim
swim, suit.
sun,When she opened her eyes the 
sun,sun
sun, was directly overhead.
lake,She went to the edge of the 
lake,lake
